row_number,transaction_id,transaction_reference,sender_wallet_address,receiver_wallet_address,sender_customer_id,receiver_customer_id,amount,transaction_fee,total_debit_amount,currency_code,status,created_at
"1","a5fbe649-726e-4924-baae-0210a262c93f","TX_1778167228381_6B8A2AD14834","ORG_WALLET_1778160269239_48CD73B4012D","ORG_WALLET_1778160270916_58F7499D02AE","ORG_27d97e5a920d445294b83bef","ORG_3b0c736419434cb3915d9406","43.87","0.04387","43.91387","USD","CONFIRMED","2026-05-07T15:20:28.382Z"
"2","112ad4e5-79de-43f8-8ad3-3a72cee272df","TX_1778167228394_B8F9A8C509E3","ORG_WALLET_1778160272254_7495A0C77CC7","ORG_WALLET_1778160281228_62BF0507BF95","ORG_69dea77248dd439b8f15d0cd","ORG_875af1ba8fb94bc4b83fad9f","16.88","0.01688","16.89688","USD","CONFIRMED","2026-05-07T15:20:28.394Z"
"3","31fbbe4a-1819-48aa-87b0-735db939b4ad","TX_1778167228400_5A8B07CCA181","ORG_WALLET_1778160279159_80BBBFF13FEC","ORG_WALLET_1778160270916_58F7499D02AE","ORG_8bc1abe06d03488889664f63","ORG_3b0c736419434cb3915d9406","14.09","0.01409","14.10409","USD","CONFIRMED","2026-05-07T15:20:28.400Z"
"4","af3f2365-c765-4a1d-be9c-173a4b9b187e","TX_1778167228405_3A3174686303","ORG_WALLET_1778160275671_04596EB26676","ORG_WALLET_1778160270578_5F67C563B639","ORG_cb4afdce1d614e709ea35423","ORG_577fac19d1184e1da9dc121c","13.32","0.01332","13.33332","USD","CONFIRMED","2026-05-07T15:20:28.405Z"
"5","c3c5dcec-c793-48fd-8aa7-2f3c5a973b8b","TX_1778167228411_F6E516D27AA1","ORG_WALLET_1778160270828_FCD6A452F375","ORG_WALLET_1778160276494_506DC7CD27D4","ORG_6a112b620a3b4d9db1c1b50d","ORG_03290d8bceec4c578406b6ff","40.22","0.04022","40.26022","USD","CONFIRMED","2026-05-07T15:20:28.411Z"
"6","71dcf504-04a9-44ed-8486-0a4451b55b8c","TX_1778167228415_27EA6A9A1B49","ORG_WALLET_1778160271169_01A8D14E09DE","ORG_WALLET_1778160278215_9B0E7B324524","ORG_5111da2a38544e5f9ff43bf1","ORG_23c3b1e647eb4bf9ae6d36a7","11.27","0.01127","11.28127","USD","CONFIRMED","2026-05-07T15:20:28.415Z"
"7","1e4a6b27-be11-4556-bb14-aed9eb3a2489","TX_1778167228420_D2DE412AF2BF","ORG_WALLET_1778160282199_5426CD38E9D1","ORG_WALLET_1778160271086_EEFE4F412D2E","ORG_f2aa8c43d06346a09f7f1a33","ORG_21f9c483dfae4315b138bac7","26.28","0.02628","26.30628","USD","CONFIRMED","2026-05-07T15:20:28.420Z"
"8","e6df3bf1-e47f-42fb-afd5-1d9935ed2a0f","TX_1778167228424_9ECFBACCC894","ORG_WALLET_1778160278300_D29F97057D02","ORG_WALLET_1778160280313_BC5103AB96CB","ORG_fd7b8664935248b5999f8970","ORG_383affa12a9d41fba9370e9c","11.41","0.01141","11.42141","USD","CONFIRMED","2026-05-07T15:20:28.424Z"
"9","3379787b-8bb3-4546-854c-cabd80d2d2ec","TX_1778167228429_B14A39F854D8","ORG_WALLET_1778160270494_527614AD5ED1","ORG_WALLET_1778160273191_9F74EE690DA4","ORG_52501adb75e9456880834763","ORG_bfd0a100c1f54521bf3575d3","30.79","0.03079","30.82079","USD","CONFIRMED","2026-05-07T15:20:28.429Z"
"10","9d0cb8de-97ca-47e7-b2d2-b8d06fb89e2f","TX_1778167228433_BC46F526BC4B","ORG_WALLET_1778158080621_9D3B20D175BC1","ORG_WALLET_1778160277450_8AAEAFBE7345","ORG_1d0a64007d7149ba8b5a7aa3","ORG_b603d78d287c474f87488af3","16.66","0.01666","16.67666","USD","CONFIRMED","2026-05-07T15:20:28.433Z"
"11","a9933f9b-ea43-4ddb-98bc-7c023cde39c2","TX_1778167228436_AFCB8694897F","ORG_WALLET_1778160282538_2FB7C9E73DEE","ORG_WALLET_1778160275097_4BF89DCDF762","ORG_6328ec72b8d1427a882a8d14","ORG_0f101297e7a64f86b1cf05c2","19.64","0.01964","19.65964","USD","CONFIRMED","2026-05-07T15:20:28.437Z"
"12","76ac34c2-4bec-456d-907c-8b0693c5d105","TX_1778167228440_35EA3E9B0803","ORG_WALLET_1778160279982_912AFF7751A5","ORG_WALLET_1778160279078_A5374ADC2320","ORG_0516915df7d441f2b287f550","ORG_c4b9ddb3c679416b903f4368","9.24","0.00924","9.24924","USD","CONFIRMED","2026-05-07T15:20:28.440Z"
"13","7613f16f-f82f-410a-96ff-ed0637e348bb","TX_1778167228443_4C7566349B82","ORG_WALLET_1778160280975_445C3B87B0E4","ORG_WALLET_1778160275505_F41736F76EA9","ORG_7afe70881d4b4bf698b08a22","ORG_3e4a83201e5b4f7dbdb74422","28.69","0.02869","28.71869","USD","CONFIRMED","2026-05-07T15:20:28.443Z"
